track_uri,track_name,artist_name,artist_info,artist_uri,artist_popularity,artist_genre,album,track_pop,year_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
1YzcrcgR3T2RwAZg5tSvYP,Die Walküre / Erster Aufzug: Orchestervorspiel,Richard Wagner,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1C1x4MVkql8AiABuTw6DgE'}, 'followers': {'href': None, 'total': 548205}, 'genres': ['classical', 'german opera', 'german romanticism', 'late romantic era'], 'href': 'https://api.spotify.com/v1/artists/1C1x4MVkql8AiABuTw6DgE', 'id': '1C1x4MVkql8AiABuTw6DgE', 'images': [{'height': 1283, 'url': 'https://i.scdn.co/image/afcdec6dff345cdd37dad153f8016960b0ed65eb', 'width': 1000}, {'height': 821, 'url': 'https://i.scdn.co/image/a0b90036e672efe68dcafe9610dbe81b7d48f1d7', 'width': 640}, {'height': 257, 'url': 'https://i.scdn.co/image/222afb5b9ea4ec7da4531ef607113a1d100e3462', 'width': 200}, {'height': 82, 'url': 'https://i.scdn.co/image/ae277fce1078bbb5c4678d125ba43a13a74947e9', 'width': 64}], 'name': 'Richard Wagner', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:1C1x4MVkql8AiABuTw6DgE'}",1C1x4MVkql8AiABuTw6DgE,58,"['classical', 'german opera', 'german romanticism', 'late romantic era']",Solti - Wagner - The Operas,15,2012-01-01,0.265,0.283,2,-19.457,0,0.0424,0.924,0.878,0.0916,0.164,113.033,audio_features,1YzcrcgR3T2RwAZg5tSvYP,spotify:track:1YzcrcgR3T2RwAZg5tSvYP,https://api.spotify.com/v1/tracks/1YzcrcgR3T2RwAZg5tSvYP,https://api.spotify.com/v1/audio-analysis/1YzcrcgR3T2RwAZg5tSvYP,196000,3,jack
6JmduA0I9QYtD1RiHQgWjj,"Götterdämmerung, WWV 86D, Act III: Siegfrieds Trauermarsch",Richard Wagner,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1C1x4MVkql8AiABuTw6DgE'}, 'followers': {'href': None, 'total': 548205}, 'genres': ['classical', 'german opera', 'german romanticism', 'late romantic era'], 'href': 'https://api.spotify.com/v1/artists/1C1x4MVkql8AiABuTw6DgE', 'id': '1C1x4MVkql8AiABuTw6DgE', 'images': [{'height': 1283, 'url': 'https://i.scdn.co/image/afcdec6dff345cdd37dad153f8016960b0ed65eb', 'width': 1000}, {'height': 821, 'url': 'https://i.scdn.co/image/a0b90036e672efe68dcafe9610dbe81b7d48f1d7', 'width': 640}, {'height': 257, 'url': 'https://i.scdn.co/image/222afb5b9ea4ec7da4531ef607113a1d100e3462', 'width': 200}, {'height': 82, 'url': 'https://i.scdn.co/image/ae277fce1078bbb5c4678d125ba43a13a74947e9', 'width': 64}], 'name': 'Richard Wagner', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:1C1x4MVkql8AiABuTw6DgE'}",1C1x4MVkql8AiABuTw6DgE,58,"['classical', 'german opera', 'german romanticism', 'late romantic era']","Wagner: Götterdämmerung, WWV 86D",3,2018-11-09,0.117,0.0495,5,-20.41,0,0.0364,0.884,0.747,0.0975,0.0396,66.858,audio_features,6JmduA0I9QYtD1RiHQgWjj,spotify:track:6JmduA0I9QYtD1RiHQgWjj,https://api.spotify.com/v1/tracks/6JmduA0I9QYtD1RiHQgWjj,https://api.spotify.com/v1/audio-analysis/6JmduA0I9QYtD1RiHQgWjj,409787,3,jack
1U1i1HBJ5H8DY5J4fO8ySg,Tannhäuser: Overture,Richard Wagner,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1C1x4MVkql8AiABuTw6DgE'}, 'followers': {'href': None, 'total': 548205}, 'genres': ['classical', 'german opera', 'german romanticism', 'late romantic era'], 'href': 'https://api.spotify.com/v1/artists/1C1x4MVkql8AiABuTw6DgE', 'id': '1C1x4MVkql8AiABuTw6DgE', 'images': [{'height': 1283, 'url': 'https://i.scdn.co/image/afcdec6dff345cdd37dad153f8016960b0ed65eb', 'width': 1000}, {'height': 821, 'url': 'https://i.scdn.co/image/a0b90036e672efe68dcafe9610dbe81b7d48f1d7', 'width': 640}, {'height': 257, 'url': 'https://i.scdn.co/image/222afb5b9ea4ec7da4531ef607113a1d100e3462', 'width': 200}, {'height': 82, 'url': 'https://i.scdn.co/image/ae277fce1078bbb5c4678d125ba43a13a74947e9', 'width': 64}], 'name': 'Richard Wagner', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:1C1x4MVkql8AiABuTw6DgE'}",1C1x4MVkql8AiABuTw6DgE,58,"['classical', 'german opera', 'german romanticism', 'late romantic era']",Wagner: Orchestral Favourites,44,1994-01-01,0.0897,0.16,4,-15.986,1,0.0357,0.832,0.834,0.14,0.0579,81.802,audio_features,1U1i1HBJ5H8DY5J4fO8ySg,spotify:track:1U1i1HBJ5H8DY5J4fO8ySg,https://api.spotify.com/v1/tracks/1U1i1HBJ5H8DY5J4fO8ySg,https://api.spotify.com/v1/audio-analysis/1U1i1HBJ5H8DY5J4fO8ySg,853827,4,jack
5loYnrcJ1XTIbs0MXKntlr,"Götterdämmerung, WWV 86D, Prologue: Siegfrieds Rheinfahrt",Richard Wagner,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1C1x4MVkql8AiABuTw6DgE'}, 'followers': {'href': None, 'total': 548205}, 'genres': ['classical', 'german opera', 'german romanticism', 'late romantic era'], 'href': 'https://api.spotify.com/v1/artists/1C1x4MVkql8AiABuTw6DgE', 'id': '1C1x4MVkql8AiABuTw6DgE', 'images': [{'height': 1283, 'url': 'https://i.scdn.co/image/afcdec6dff345cdd37dad153f8016960b0ed65eb', 'width': 1000}, {'height': 821, 'url': 'https://i.scdn.co/image/a0b90036e672efe68dcafe9610dbe81b7d48f1d7', 'width': 640}, {'height': 257, 'url': 'https://i.scdn.co/image/222afb5b9ea4ec7da4531ef607113a1d100e3462', 'width': 200}, {'height': 82, 'url': 'https://i.scdn.co/image/ae277fce1078bbb5c4678d125ba43a13a74947e9', 'width': 64}], 'name': 'Richard Wagner', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:1C1x4MVkql8AiABuTw6DgE'}",1C1x4MVkql8AiABuTw6DgE,58,"['classical', 'german opera', 'german romanticism', 'late romantic era']","Wagner: Götterdämmerung, WWV 86D",0,2018-11-09,0.227,0.177,10,-19.306,1,0.0377,0.949,0.891,0.158,0.0622,128.729,audio_features,5loYnrcJ1XTIbs0MXKntlr,spotify:track:5loYnrcJ1XTIbs0MXKntlr,https://api.spotify.com/v1/tracks/5loYnrcJ1XTIbs0MXKntlr,https://api.spotify.com/v1/audio-analysis/5loYnrcJ1XTIbs0MXKntlr,309053,3,jack
3ci6KfIfr3UiIRgJ3WVYhd,"Piano Concerto No. 1 in D Minor, Op. 15: I. Maestoso - Poco più moderato",Johannes Brahms,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5wTAi7QkpP6kp8a54lmTOq'}, 'followers': {'href': None, 'total': 795006}, 'genres': ['classical', 'german romanticism', 'late romantic era'], 'href': 'https://api.spotify.com/v1/artists/5wTAi7QkpP6kp8a54lmTOq', 'id': '5wTAi7QkpP6kp8a54lmTOq', 'images': [{'height': 752, 'url': 'https://i.scdn.co/image/d5c6af18beb1411ab49c2976647e0d370bf66a88', 'width': 514}, {'height': 293, 'url': 'https://i.scdn.co/image/841b4adc1a4e66906d99229aaaec26306d6aed92', 'width': 200}, {'height': 94, 'url': 'https://i.scdn.co/image/39d3c79df7fed6b4c597babaa24586d40fa44a45', 'width': 64}], 'name': 'Johannes Brahms', 'popularity': 68, 'type': 'artist', 'uri': 'spotify:artist:5wTAi7QkpP6kp8a54lmTOq'}",5wTAi7QkpP6kp8a54lmTOq,68,"['classical', 'german romanticism', 'late romantic era']",Brahms: Piano Concerto No.1,31,2005-01-01,0.187,0.136,2,-17.784,0,0.0347,0.958,0.885,0.0925,0.0395,87.459,audio_features,3ci6KfIfr3UiIRgJ3WVYhd,spotify:track:3ci6KfIfr3UiIRgJ3WVYhd,https://api.spotify.com/v1/tracks/3ci6KfIfr3UiIRgJ3WVYhd,https://api.spotify.com/v1/audio-analysis/3ci6KfIfr3UiIRgJ3WVYhd,1407000,4,jack
3JC8JtTjS0PHWZjUfCooEz,Symphony No. 1: IV. Stürmisch bewegt,Gustav Mahler,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2ANtgfhQkKpsW6EYSDqldz'}, 'followers': {'href': None, 'total': 244258}, 'genres': ['classical', 'post-romantic era'], 'href': 'https://api.spotify.com/v1/artists/2ANtgfhQkKpsW6EYSDqldz', 'id': '2ANtgfhQkKpsW6EYSDqldz', 'images': [{'height': 1291, 'url': 'https://i.scdn.co/image/269aaec4775a72c6574dc856fc1f3f4a84c3d023', 'width': 961}, {'height': 860, 'url': 'https://i.scdn.co/image/1a46a252f0f4e0c7761132034206c93df42f88f1', 'width': 640}, {'height': 269, 'url': 'https://i.scdn.co/image/9b9ec6610116918a8ed98f8fad86dc7911e9e0a0', 'width': 200}, {'height': 86, 'url': 'https://i.scdn.co/image/c6951878e2aae130c989c4e0d9d4f5ea6f5422d9', 'width': 64}], 'name': 'Gustav Mahler', 'popularity': 57, 'type': 'artist', 'uri': 'spotify:artist:2ANtgfhQkKpsW6EYSDqldz'}",2ANtgfhQkKpsW6EYSDqldz,57,"['classical', 'post-romantic era']",Mahler: Symphony No. 1,17,2021-06-25,0.174,0.133,1,-18.568,1,0.0366,0.865,0.911,0.358,0.0492,97.212,audio_features,3JC8JtTjS0PHWZjUfCooEz,spotify:track:3JC8JtTjS0PHWZjUfCooEz,https://api.spotify.com/v1/tracks/3JC8JtTjS0PHWZjUfCooEz,https://api.spotify.com/v1/audio-analysis/3JC8JtTjS0PHWZjUfCooEz,1223537,4,jack
664tS0DHTLlsVKzA5h76Lo,"Symphony No.9 in E Minor, Op.95, B.178: 1. Adagio - Allegro molto",Antonín Dvořák,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6n7nd5iceYpXVwcx8VPpxF'}, 'followers': {'href': None, 'total': 483649}, 'genres': ['classical', 'czech classical', 'late romantic era'], 'href': 'https://api.spotify.com/v1/artists/6n7nd5iceYpXVwcx8VPpxF', 'id': '6n7nd5iceYpXVwcx8VPpxF', 'images': [{'height': 1401, 'url': 'https://i.scdn.co/image/f1cd0eea7fb3b75bfad16a10af1dc0dd0763efba', 'width': 1000}, {'height': 897, 'url': 'https://i.scdn.co/image/ca35ee805231ffda36289d7672239a868690d8b5', 'width': 640}, {'height': 280, 'url': 'https://i.scdn.co/image/9ef8aaf1ff4a3d376f3584c6a671102350d59e70', 'width': 200}, {'height': 90, 'url': 'https://i.scdn.co/image/b8311c55a05e2784140cad2473844e0f539eab2b', 'width': 64}], 'name': 'Antonín Dvořák', 'popularity': 63, 'type': 'artist', 'uri': 'spotify:artist:6n7nd5iceYpXVwcx8VPpxF'}",6n7nd5iceYpXVwcx8VPpxF,63,"['classical', 'czech classical', 'late romantic era']",Dvorák: Symphonies Nos.8 & 9,2,2006-01-01,0.174,0.177,4,-12.938,0,0.0362,0.956,0.884,0.205,0.0798,85.402,audio_features,664tS0DHTLlsVKzA5h76Lo,spotify:track:664tS0DHTLlsVKzA5h76Lo,https://api.spotify.com/v1/tracks/664tS0DHTLlsVKzA5h76Lo,https://api.spotify.com/v1/audio-analysis/664tS0DHTLlsVKzA5h76Lo,748307,3,jack
2yM34iwQOSOcHP8jAcTh9k,"Symphony No.9 in E Minor, Op.95, B.178: 4. Allegro con fuoco",Antonín Dvořák,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6n7nd5iceYpXVwcx8VPpxF'}, 'followers': {'href': None, 'total': 483649}, 'genres': ['classical', 'czech classical', 'late romantic era'], 'href': 'https://api.spotify.com/v1/artists/6n7nd5iceYpXVwcx8VPpxF', 'id': '6n7nd5iceYpXVwcx8VPpxF', 'images': [{'height': 1401, 'url': 'https://i.scdn.co/image/f1cd0eea7fb3b75bfad16a10af1dc0dd0763efba', 'width': 1000}, {'height': 897, 'url': 'https://i.scdn.co/image/ca35ee805231ffda36289d7672239a868690d8b5', 'width': 640}, {'height': 280, 'url': 'https://i.scdn.co/image/9ef8aaf1ff4a3d376f3584c6a671102350d59e70', 'width': 200}, {'height': 90, 'url': 'https://i.scdn.co/image/b8311c55a05e2784140cad2473844e0f539eab2b', 'width': 64}], 'name': 'Antonín Dvořák', 'popularity': 63, 'type': 'artist', 'uri': 'spotify:artist:6n7nd5iceYpXVwcx8VPpxF'}",6n7nd5iceYpXVwcx8VPpxF,63,"['classical', 'czech classical', 'late romantic era']",Dvorák: Symphonies Nos.8 & 9,3,2006-01-01,0.24,0.176,4,-12.922,0,0.0333,0.94,0.894,0.114,0.107,140.603,audio_features,2yM34iwQOSOcHP8jAcTh9k,spotify:track:2yM34iwQOSOcHP8jAcTh9k,https://api.spotify.com/v1/tracks/2yM34iwQOSOcHP8jAcTh9k,https://api.spotify.com/v1/audio-analysis/2yM34iwQOSOcHP8jAcTh9k,677347,4,jack
3G9Jpr6F14VM7nvXoWXtTI,"Mahler: Symphony No. 2 in C Minor ""Resurrection"": I. Allegro maestoso. Mit durchaus ernstem und feierlichem Ausdruck",Gustav Mahler,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2ANtgfhQkKpsW6EYSDqldz'}, 'followers': {'href': None, 'total': 244258}, 'genres': ['classical', 'post-romantic era'], 'href': 'https://api.spotify.com/v1/artists/2ANtgfhQkKpsW6EYSDqldz', 'id': '2ANtgfhQkKpsW6EYSDqldz', 'images': [{'height': 1291, 'url': 'https://i.scdn.co/image/269aaec4775a72c6574dc856fc1f3f4a84c3d023', 'width': 961}, {'height': 860, 'url': 'https://i.scdn.co/image/1a46a252f0f4e0c7761132034206c93df42f88f1', 'width': 640}, {'height': 269, 'url': 'https://i.scdn.co/image/9b9ec6610116918a8ed98f8fad86dc7911e9e0a0', 'width': 200}, {'height': 86, 'url': 'https://i.scdn.co/image/c6951878e2aae130c989c4e0d9d4f5ea6f5422d9', 'width': 64}], 'name': 'Gustav Mahler', 'popularity': 57, 'type': 'artist', 'uri': 'spotify:artist:2ANtgfhQkKpsW6EYSDqldz'}",2ANtgfhQkKpsW6EYSDqldz,57,"['classical', 'post-romantic era']","Mahler: Symphony No. 2 ""Resurrection""",26,2011-02-07,0.169,0.0343,0,-22.74,0,0.0374,0.939,0.903,0.103,0.0662,98.85,audio_features,3G9Jpr6F14VM7nvXoWXtTI,spotify:track:3G9Jpr6F14VM7nvXoWXtTI,https://api.spotify.com/v1/tracks/3G9Jpr6F14VM7nvXoWXtTI,https://api.spotify.com/v1/audio-analysis/3G9Jpr6F14VM7nvXoWXtTI,1463774,1,jack
6UsgiUl7aBMZFxoULMQC7m,"Symphony No. 4 in C Minor, Op. 43: III. Largo - Allegro",Dmitri Shostakovich,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6s1pCNXcbdtQJlsnM1hRIA'}, 'followers': {'href': None, 'total': 313250}, 'genres': ['classical', 'compositional ambient', 'russian modern classical'], 'href': 'https://api.spotify.com/v1/artists/6s1pCNXcbdtQJlsnM1hRIA', 'id': '6s1pCNXcbdtQJlsnM1hRIA', 'images': [{'height': 520, 'url': 'https://i.scdn.co/image/28f745db0a77d0e70db1c0be305f51b3478706aa', 'width': 490}, {'height': 212, 'url': 'https://i.scdn.co/image/3143699abed78aabe8b09712c72cf8b9c5615e1e', 'width': 200}, {'height': 68, 'url': 'https://i.scdn.co/image/3034f42133ac025f1298ad3be0a49f75895d72aa', 'width': 64}], 'name': 'Dmitri Shostakovich', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:6s1pCNXcbdtQJlsnM1hRIA'}",6s1pCNXcbdtQJlsnM1hRIA,62,"['classical', 'compositional ambient', 'russian modern classical']","Shostakovich: Symphonies Nos 4, 5 & 6",0,2014-06-02,0.256,0.0618,0,-22.708,1,0.0445,0.856,0.702,0.14,0.0463,142.816,audio_features,6UsgiUl7aBMZFxoULMQC7m,spotify:track:6UsgiUl7aBMZFxoULMQC7m,https://api.spotify.com/v1/tracks/6UsgiUl7aBMZFxoULMQC7m,https://api.spotify.com/v1/audio-analysis/6UsgiUl7aBMZFxoULMQC7m,1493750,4,jack
