track_uri,track_name,artist_name,artist_info,artist_uri,artist_popularity,artist_genre,album,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0mDRuZmReEm6DquPLJlcEm,Oleku (feat. Brymo),Ice Prince,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1sSt1DqqqFLkPwfrqafVyn'}, 'followers': {'href': None, 'total': 123149}, 'genres': ['afro dancehall', 'afropop', 'azontobeats', 'nigerian hip hop', 'nigerian pop'], 'href': 'https://api.spotify.com/v1/artists/1sSt1DqqqFLkPwfrqafVyn', 'id': '1sSt1DqqqFLkPwfrqafVyn', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc09422d4663ad4c45deebd29', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c09422d4663ad4c45deebd29', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c09422d4663ad4c45deebd29', 'width': 160}], 'name': 'Ice Prince', 'popularity': 54, 'type': 'artist', 'uri': 'spotify:artist:1sSt1DqqqFLkPwfrqafVyn'}",1sSt1DqqqFLkPwfrqafVyn,54,"['afro dancehall', 'afropop', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",Oleku (feat. Brymo),51,0.544,0.73,1,-4.299,0,0.144,0.344,1.36e-06,0.14,0.751,162.112,afrobeats
1tvi8tv0eykhNcV1WtaIqO,Move Back,5five,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/37zb1JQnDV9dRLatrASEj1'}, 'followers': {'href': None, 'total': 5996}, 'genres': ['afro dancehall', 'azonto', 'hiplife'], 'href': 'https://api.spotify.com/v1/artists/37zb1JQnDV9dRLatrASEj1', 'id': '37zb1JQnDV9dRLatrASEj1', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273685fad9ab46263f6409bc6a4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02685fad9ab46263f6409bc6a4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851685fad9ab46263f6409bc6a4', 'width': 64}], 'name': '5five', 'popularity': 29, 'type': 'artist', 'uri': 'spotify:artist:37zb1JQnDV9dRLatrASEj1'}",37zb1JQnDV9dRLatrASEj1,29,"['afro dancehall', 'azonto', 'hiplife']",Move Back,45,0.793,0.734,11,-9.252,0,0.0981,0.323,1.64e-06,0.777,0.793,125.032,afrobeats
5YgyvTZmdkIfFOnj8ri8mZ,Pakurumo,WizKid,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3tVQdUvClmAT7URs9V3rsp'}, 'followers': {'href': None, 'total': 1862422}, 'genres': ['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop'], 'href': 'https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp', 'id': '3tVQdUvClmAT7URs9V3rsp', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9050b61368975fda051cdc06', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749050b61368975fda051cdc06', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789050b61368975fda051cdc06', 'width': 160}], 'name': 'WizKid', 'popularity': 80, 'type': 'artist', 'uri': 'spotify:artist:3tVQdUvClmAT7URs9V3rsp'}",3tVQdUvClmAT7URs9V3rsp,80,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",Superstar,49,0.879,0.737,2,-5.412,1,0.0421,0.525,0.00576,0.268,0.967,119.99,afrobeats
2cWdhA4ZDBvYuHRKKIPT3k,The Matter (feat. Wizkid),Maleek Berry,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/520qA5VGL9iI0SbmEnTVNg'}, 'followers': {'href': None, 'total': 334668}, 'genres': ['afro dancehall', 'afropop', 'azontobeats', 'nigerian pop', 'swedish dancehall', 'uk dancehall'], 'href': 'https://api.spotify.com/v1/artists/520qA5VGL9iI0SbmEnTVNg', 'id': '520qA5VGL9iI0SbmEnTVNg', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb71a77497bafefd73bf082ba8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517471a77497bafefd73bf082ba8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17871a77497bafefd73bf082ba8', 'width': 160}], 'name': 'Maleek Berry', 'popularity': 60, 'type': 'artist', 'uri': 'spotify:artist:520qA5VGL9iI0SbmEnTVNg'}",520qA5VGL9iI0SbmEnTVNg,60,"['afro dancehall', 'afropop', 'azontobeats', 'nigerian pop', 'swedish dancehall', 'uk dancehall']",The Matter (feat. Wizkid),48,0.697,0.841,2,-6.782,1,0.271,0.224,0.0,0.336,0.808,103.07,afrobeats
4voOsb8qpJ569JaMiGAyrl,Slow Down (feat. Wiz Kid),R2Bees,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LFsP7WPfu5inz9a1amcE4'}, 'followers': {'href': None, 'total': 92110}, 'genres': ['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'ghanaian hip hop', 'ghanaian pop', 'hiplife'], 'href': 'https://api.spotify.com/v1/artists/0LFsP7WPfu5inz9a1amcE4', 'id': '0LFsP7WPfu5inz9a1amcE4', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb42f0b7e5c0068e335f113ed2', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517442f0b7e5c0068e335f113ed2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17842f0b7e5c0068e335f113ed2', 'width': 160}], 'name': 'R2Bees', 'popularity': 52, 'type': 'artist', 'uri': 'spotify:artist:0LFsP7WPfu5inz9a1amcE4'}",0LFsP7WPfu5inz9a1amcE4,52,"['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'ghanaian hip hop', 'ghanaian pop', 'hiplife']",Refuse to Be Broke: Da Revolution 2,53,0.52,0.717,6,-3.006,0,0.389,0.116,0.0,0.249,0.704,135.55,afrobeats
4bv9fcxjNNBDP6GNAgrvbp,Like to Party,Burna Boy,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3wcj11K77LjEY1PkEazffa'}, 'followers': {'href': None, 'total': 2051057}, 'genres': ['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop'], 'href': 'https://api.spotify.com/v1/artists/3wcj11K77LjEY1PkEazffa', 'id': '3wcj11K77LjEY1PkEazffa', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1e6f47b5beb55b52cbece502', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741e6f47b5beb55b52cbece502', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781e6f47b5beb55b52cbece502', 'width': 160}], 'name': 'Burna Boy', 'popularity': 79, 'type': 'artist', 'uri': 'spotify:artist:3wcj11K77LjEY1PkEazffa'}",3wcj11K77LjEY1PkEazffa,79,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']",Like to Party,43,0.451,0.717,7,-6.972,1,0.338,0.136,0.0,0.121,0.757,108.955,afrobeats
5uQdQMW0TshEPngJC0pPSg,Yahooze,Olu Maintain,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0MhOwPj45dpyuqe8pxKXoc'}, 'followers': {'href': None, 'total': 25378}, 'genres': ['afro dancehall', 'afropop', 'azonto', 'naija old school'], 'href': 'https://api.spotify.com/v1/artists/0MhOwPj45dpyuqe8pxKXoc', 'id': '0MhOwPj45dpyuqe8pxKXoc', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27366639a52486be85949fd1cc1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0266639a52486be85949fd1cc1', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485166639a52486be85949fd1cc1', 'width': 64}], 'name': 'Olu Maintain', 'popularity': 28, 'type': 'artist', 'uri': 'spotify:artist:0MhOwPj45dpyuqe8pxKXoc'}",0MhOwPj45dpyuqe8pxKXoc,28,"['afro dancehall', 'afropop', 'azonto', 'naija old school']",Olu Maintain,42,0.83,0.707,5,-7.325,1,0.0778,0.0688,0.0,0.122,0.821,112.978,afrobeats
07ANhZt44fsOCbHYq3MYPc,Bumper To Bumper,Wande Coal,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1fYVmAFB7sC7eDoF3mJXla'}, 'followers': {'href': None, 'total': 271933}, 'genres': ['afro dancehall', 'afropop', 'azontobeats', 'nigerian hip hop', 'nigerian pop'], 'href': 'https://api.spotify.com/v1/artists/1fYVmAFB7sC7eDoF3mJXla', 'id': '1fYVmAFB7sC7eDoF3mJXla', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4cc61e03fccf8573d5e9893e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744cc61e03fccf8573d5e9893e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784cc61e03fccf8573d5e9893e', 'width': 160}], 'name': 'Wande Coal', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:1fYVmAFB7sC7eDoF3mJXla'}",1fYVmAFB7sC7eDoF3mJXla,58,"['afro dancehall', 'afropop', 'azontobeats', 'nigerian hip hop', 'nigerian pop']",Best Of Wande Coal,0,0.771,0.735,5,-9.162,0,0.116,0.148,0.0,0.288,0.385,119.983,afrobeats
02zOOqmlnTCtLPg98cTqPw,Dami Duro,DaVido,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Y3agQaa6g2r0YmHPOO9rh'}, 'followers': {'href': None, 'total': 1247101}, 'genres': ['afropop', 'ghanaian hip hop', 'nigerian pop'], 'href': 'https://api.spotify.com/v1/artists/0Y3agQaa6g2r0YmHPOO9rh', 'id': '0Y3agQaa6g2r0YmHPOO9rh', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb19947aac2283d92cae699753', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517419947aac2283d92cae699753', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17819947aac2283d92cae699753', 'width': 160}], 'name': 'DaVido', 'popularity': 71, 'type': 'artist', 'uri': 'spotify:artist:0Y3agQaa6g2r0YmHPOO9rh'}",0Y3agQaa6g2r0YmHPOO9rh,71,"['afropop', 'ghanaian hip hop', 'nigerian pop']",Best Of Davido,0,0.659,0.995,0,-0.735,0,0.194,0.188,0.0,0.216,0.707,124.983,afrobeats
5JEw4FrNlWmHxgBkw0jbEj,Gongo Aso,9ice,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0AJdNiFdUdmiU2TNg5fSzH'}, 'followers': {'href': None, 'total': 82984}, 'genres': ['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop'], 'href': 'https://api.spotify.com/v1/artists/0AJdNiFdUdmiU2TNg5fSzH', 'id': '0AJdNiFdUdmiU2TNg5fSzH', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb2b4d9e5ce606a9159f980d45', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051742b4d9e5ce606a9159f980d45', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1782b4d9e5ce606a9159f980d45', 'width': 160}], 'name': '9ice', 'popularity': 41, 'type': 'artist', 'uri': 'spotify:artist:0AJdNiFdUdmiU2TNg5fSzH'}",0AJdNiFdUdmiU2TNg5fSzH,41,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",Gongo Aso,0,0.824,0.965,4,-2.742,1,0.0409,0.245,9.84e-05,0.0983,0.902,110.03,afrobeats
