track_uri,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
0mDRuZmReEm6DquPLJlcEm,Oleku (feat. Brymo),0.544,0.73,1.0,-4.299,0.0,0.144,0.344,1.36e-06,0.14,0.751,162.112,audio_features,0mDRuZmReEm6DquPLJlcEm,spotify:track:0mDRuZmReEm6DquPLJlcEm,https://api.spotify.com/v1/tracks/0mDRuZmReEm6DquPLJlcEm,https://api.spotify.com/v1/audio-analysis/0mDRuZmReEm6DquPLJlcEm,291364.0,5.0,afrobeats
1tvi8tv0eykhNcV1WtaIqO,Move Back,0.793,0.734,11.0,-9.252,0.0,0.0981,0.323,1.64e-06,0.777,0.793,125.032,audio_features,1tvi8tv0eykhNcV1WtaIqO,spotify:track:1tvi8tv0eykhNcV1WtaIqO,https://api.spotify.com/v1/tracks/1tvi8tv0eykhNcV1WtaIqO,https://api.spotify.com/v1/audio-analysis/1tvi8tv0eykhNcV1WtaIqO,237107.0,4.0,afrobeats
5YgyvTZmdkIfFOnj8ri8mZ,Pakurumo,0.879,0.737,2.0,-5.412,1.0,0.0421,0.525,0.00576,0.268,0.967,119.99,audio_features,5YgyvTZmdkIfFOnj8ri8mZ,spotify:track:5YgyvTZmdkIfFOnj8ri8mZ,https://api.spotify.com/v1/tracks/5YgyvTZmdkIfFOnj8ri8mZ,https://api.spotify.com/v1/audio-analysis/5YgyvTZmdkIfFOnj8ri8mZ,212006.0,4.0,afrobeats
2cWdhA4ZDBvYuHRKKIPT3k,The Matter (feat. Wizkid),0.697,0.841,2.0,-6.782,1.0,0.271,0.224,0.0,0.336,0.808,103.07,audio_features,2cWdhA4ZDBvYuHRKKIPT3k,spotify:track:2cWdhA4ZDBvYuHRKKIPT3k,https://api.spotify.com/v1/tracks/2cWdhA4ZDBvYuHRKKIPT3k,https://api.spotify.com/v1/audio-analysis/2cWdhA4ZDBvYuHRKKIPT3k,198058.0,4.0,afrobeats
4voOsb8qpJ569JaMiGAyrl,Slow Down (feat. Wiz Kid),0.52,0.717,6.0,-3.006,0.0,0.389,0.116,0.0,0.249,0.704,135.55,audio_features,4voOsb8qpJ569JaMiGAyrl,spotify:track:4voOsb8qpJ569JaMiGAyrl,https://api.spotify.com/v1/tracks/4voOsb8qpJ569JaMiGAyrl,https://api.spotify.com/v1/audio-analysis/4voOsb8qpJ569JaMiGAyrl,261547.0,5.0,afrobeats
4bv9fcxjNNBDP6GNAgrvbp,Like to Party,0.451,0.717,7.0,-6.972,1.0,0.338,0.136,0.0,0.121,0.757,108.955,audio_features,4bv9fcxjNNBDP6GNAgrvbp,spotify:track:4bv9fcxjNNBDP6GNAgrvbp,https://api.spotify.com/v1/tracks/4bv9fcxjNNBDP6GNAgrvbp,https://api.spotify.com/v1/audio-analysis/4bv9fcxjNNBDP6GNAgrvbp,246400.0,3.0,afrobeats
5uQdQMW0TshEPngJC0pPSg,Yahooze,0.83,0.707,5.0,-7.325,1.0,0.0778,0.0688,0.0,0.122,0.821,112.978,audio_features,5uQdQMW0TshEPngJC0pPSg,spotify:track:5uQdQMW0TshEPngJC0pPSg,https://api.spotify.com/v1/tracks/5uQdQMW0TshEPngJC0pPSg,https://api.spotify.com/v1/audio-analysis/5uQdQMW0TshEPngJC0pPSg,255713.0,4.0,afrobeats
07ANhZt44fsOCbHYq3MYPc,Bumper To Bumper,0.771,0.735,5.0,-9.162,0.0,0.116,0.148,0.0,0.288,0.385,119.983,audio_features,07ANhZt44fsOCbHYq3MYPc,spotify:track:07ANhZt44fsOCbHYq3MYPc,https://api.spotify.com/v1/tracks/07ANhZt44fsOCbHYq3MYPc,https://api.spotify.com/v1/audio-analysis/07ANhZt44fsOCbHYq3MYPc,225933.0,4.0,afrobeats
02zOOqmlnTCtLPg98cTqPw,Dami Duro,0.659,0.995,0.0,-0.735,0.0,0.194,0.188,0.0,0.216,0.707,124.983,audio_features,02zOOqmlnTCtLPg98cTqPw,spotify:track:02zOOqmlnTCtLPg98cTqPw,https://api.spotify.com/v1/tracks/02zOOqmlnTCtLPg98cTqPw,https://api.spotify.com/v1/audio-analysis/02zOOqmlnTCtLPg98cTqPw,250251.0,4.0,afrobeats
5JEw4FrNlWmHxgBkw0jbEj,Gongo Aso,0.824,0.965,4.0,-2.742,1.0,0.0409,0.245,9.84e-05,0.0983,0.902,110.03,audio_features,5JEw4FrNlWmHxgBkw0jbEj,spotify:track:5JEw4FrNlWmHxgBkw0jbEj,https://api.spotify.com/v1/tracks/5JEw4FrNlWmHxgBkw0jbEj,https://api.spotify.com/v1/audio-analysis/5JEw4FrNlWmHxgBkw0jbEj,224307.0,4.0,afrobeats
6C6xlP5zYRhYSNI5ORl6Wd,Don't Dull,0.816,0.799,8.0,-2.173,0.0,0.238,0.531,0.0,0.0834,0.925,110.008,audio_features,6C6xlP5zYRhYSNI5ORl6Wd,spotify:track:6C6xlP5zYRhYSNI5ORl6Wd,https://api.spotify.com/v1/tracks/6C6xlP5zYRhYSNI5ORl6Wd,https://api.spotify.com/v1/audio-analysis/6C6xlP5zYRhYSNI5ORl6Wd,279353.0,4.0,afrobeats
1rVyxy6CRo3dB5z5oNKZfc,Swagger,0.747,0.78,9.0,-10.149,0.0,0.0398,0.23,0.0,0.11,0.915,109.991,audio_features,1rVyxy6CRo3dB5z5oNKZfc,spotify:track:1rVyxy6CRo3dB5z5oNKZfc,https://api.spotify.com/v1/tracks/1rVyxy6CRo3dB5z5oNKZfc,https://api.spotify.com/v1/audio-analysis/1rVyxy6CRo3dB5z5oNKZfc,283220.0,4.0,afrobeats
2oiMs23DJaCEj0KSj6ZOjv,Kolom,0.765,0.861,8.0,-2.81,1.0,0.165,0.209,0.0,0.345,0.905,127.978,audio_features,2oiMs23DJaCEj0KSj6ZOjv,spotify:track:2oiMs23DJaCEj0KSj6ZOjv,https://api.spotify.com/v1/tracks/2oiMs23DJaCEj0KSj6ZOjv,https://api.spotify.com/v1/audio-analysis/2oiMs23DJaCEj0KSj6ZOjv,280738.0,4.0,afrobeats
7vpMQ2vmU6O2qFG7aNKwiL,Skin Tight (feat. Efya),0.654,0.439,9.0,-7.114,0.0,0.263,0.152,1.11e-05,0.111,0.512,111.358,audio_features,7vpMQ2vmU6O2qFG7aNKwiL,spotify:track:7vpMQ2vmU6O2qFG7aNKwiL,https://api.spotify.com/v1/tracks/7vpMQ2vmU6O2qFG7aNKwiL,https://api.spotify.com/v1/audio-analysis/7vpMQ2vmU6O2qFG7aNKwiL,248627.0,3.0,afrobeats
1XD2smsByGKUCgHhyZyVtF,Amorawa - Bonus Track,0.551,0.786,8.0,-3.444,1.0,0.216,0.0154,0.0,0.183,0.544,195.844,audio_features,1XD2smsByGKUCgHhyZyVtF,spotify:track:1XD2smsByGKUCgHhyZyVtF,https://api.spotify.com/v1/tracks/1XD2smsByGKUCgHhyZyVtF,https://api.spotify.com/v1/audio-analysis/1XD2smsByGKUCgHhyZyVtF,242449.0,4.0,afrobeats
1uUicV3BDzRccm6azPFnrl,Tonight,0.796,0.676,5.0,-6.51,0.0,0.0525,0.0359,6.26e-06,0.0549,0.733,112.019,audio_features,1uUicV3BDzRccm6azPFnrl,spotify:track:1uUicV3BDzRccm6azPFnrl,https://api.spotify.com/v1/tracks/1uUicV3BDzRccm6azPFnrl,https://api.spotify.com/v1/audio-analysis/1uUicV3BDzRccm6azPFnrl,250000.0,4.0,afrobeats
0TDFU3SY7Z7l74c7M7kJFO,Kiss Your Hand (feat. Wande Coal),0.754,0.946,5.0,-3.581,1.0,0.0537,0.188,0.0,0.0706,0.923,125.013,audio_features,0TDFU3SY7Z7l74c7M7kJFO,spotify:track:0TDFU3SY7Z7l74c7M7kJFO,https://api.spotify.com/v1/tracks/0TDFU3SY7Z7l74c7M7kJFO,https://api.spotify.com/v1/audio-analysis/0TDFU3SY7Z7l74c7M7kJFO,268213.0,4.0,afrobeats
6TARhI06IcFdWyVuuizLy1,Fall in Love,0.767,0.758,6.0,-7.067,1.0,0.0793,0.0395,0.0,0.276,0.893,104.983,audio_features,6TARhI06IcFdWyVuuizLy1,spotify:track:6TARhI06IcFdWyVuuizLy1,https://api.spotify.com/v1/tracks/6TARhI06IcFdWyVuuizLy1,https://api.spotify.com/v1/audio-analysis/6TARhI06IcFdWyVuuizLy1,256841.0,4.0,afrobeats
57Gu531HyBd4QmPsQXl165,No Lele,0.559,0.835,6.0,-4.256,0.0,0.185,0.54,0.0,0.243,0.935,136.29,audio_features,57Gu531HyBd4QmPsQXl165,spotify:track:57Gu531HyBd4QmPsQXl165,https://api.spotify.com/v1/tracks/57Gu531HyBd4QmPsQXl165,https://api.spotify.com/v1/audio-analysis/57Gu531HyBd4QmPsQXl165,218175.0,5.0,afrobeats
405XbnXle3IZ5Aj2bZT3Nu,The Thing,0.799,0.92,6.0,-2.888,0.0,0.121,0.552,0.0,0.0919,0.961,125.017,audio_features,405XbnXle3IZ5Aj2bZT3Nu,spotify:track:405XbnXle3IZ5Aj2bZT3Nu,https://api.spotify.com/v1/tracks/405XbnXle3IZ5Aj2bZT3Nu,https://api.spotify.com/v1/audio-analysis/405XbnXle3IZ5Aj2bZT3Nu,292532.0,4.0,afrobeats
53C1jcNfeMGnlZLTbVrgU2,Malonogede,0.738,0.931,7.0,-2.379,1.0,0.185,0.229,0.0,0.251,0.921,128.001,audio_features,53C1jcNfeMGnlZLTbVrgU2,spotify:track:53C1jcNfeMGnlZLTbVrgU2,https://api.spotify.com/v1/tracks/53C1jcNfeMGnlZLTbVrgU2,https://api.spotify.com/v1/audio-analysis/53C1jcNfeMGnlZLTbVrgU2,190267.0,4.0,afrobeats
12n8d0AfedBQysTcN4Tg6W,Obianuju,0.696,0.693,1.0,-4.031,1.0,0.101,0.187,0.0,0.0771,0.935,108.928,audio_features,12n8d0AfedBQysTcN4Tg6W,spotify:track:12n8d0AfedBQysTcN4Tg6W,https://api.spotify.com/v1/tracks/12n8d0AfedBQysTcN4Tg6W,https://api.spotify.com/v1/audio-analysis/12n8d0AfedBQysTcN4Tg6W,221080.0,4.0,afrobeats
1zWSf29jBrScFFxwhr1OLa,Wengeze,0.876,0.847,7.0,-5.642,1.0,0.22,0.134,0.0114,0.115,0.759,124.95,audio_features,1zWSf29jBrScFFxwhr1OLa,spotify:track:1zWSf29jBrScFFxwhr1OLa,https://api.spotify.com/v1/tracks/1zWSf29jBrScFFxwhr1OLa,https://api.spotify.com/v1/audio-analysis/1zWSf29jBrScFFxwhr1OLa,213120.0,4.0,afrobeats
0c5mtgPNP2jBk9fdVtZ3lf,Tease Me / Bad Guys,0.613,0.951,9.0,-2.305,0.0,0.261,0.00376,0.0,0.0774,0.93,104.427,audio_features,0c5mtgPNP2jBk9fdVtZ3lf,spotify:track:0c5mtgPNP2jBk9fdVtZ3lf,https://api.spotify.com/v1/tracks/0c5mtgPNP2jBk9fdVtZ3lf,https://api.spotify.com/v1/audio-analysis/0c5mtgPNP2jBk9fdVtZ3lf,188817.0,4.0,afrobeats
5odE6ttDuVxOebSaXsjTVz,Soke,0.647,0.497,9.0,-11.174,1.0,0.104,0.599,5.86e-06,0.102,0.883,203.868,audio_features,5odE6ttDuVxOebSaXsjTVz,spotify:track:5odE6ttDuVxOebSaXsjTVz,https://api.spotify.com/v1/tracks/5odE6ttDuVxOebSaXsjTVz,https://api.spotify.com/v1/audio-analysis/5odE6ttDuVxOebSaXsjTVz,218867.0,4.0,afrobeats
0tjRxRv1JonYbxX0RD1Smw,Karolina,0.637,0.977,4.0,-3.083,1.0,0.0494,0.0862,0.0,0.15,0.942,120.009,audio_features,0tjRxRv1JonYbxX0RD1Smw,spotify:track:0tjRxRv1JonYbxX0RD1Smw,https://api.spotify.com/v1/tracks/0tjRxRv1JonYbxX0RD1Smw,https://api.spotify.com/v1/audio-analysis/0tjRxRv1JonYbxX0RD1Smw,272213.0,4.0,afrobeats
3sIofHrXIc1o5OFkP9Kk6N,Igwe,0.521,0.886,9.0,-0.679,1.0,0.239,0.231,0.0,0.0782,0.744,115.051,audio_features,3sIofHrXIc1o5OFkP9Kk6N,spotify:track:3sIofHrXIc1o5OFkP9Kk6N,https://api.spotify.com/v1/tracks/3sIofHrXIc1o5OFkP9Kk6N,https://api.spotify.com/v1/audio-analysis/3sIofHrXIc1o5OFkP9Kk6N,311693.0,4.0,afrobeats
0r6z4y1ipgGloVF3ZPSfZ7,Aben Wo Aha,0.786,0.784,0.0,-5.167,1.0,0.0458,0.111,0.000929,0.0665,0.954,114.434,audio_features,0r6z4y1ipgGloVF3ZPSfZ7,spotify:track:0r6z4y1ipgGloVF3ZPSfZ7,https://api.spotify.com/v1/tracks/0r6z4y1ipgGloVF3ZPSfZ7,https://api.spotify.com/v1/audio-analysis/0r6z4y1ipgGloVF3ZPSfZ7,312707.0,4.0,afrobeats
4Ql8dfmVkKEVz0ZMnvw8xi,Chingam (feat. Bisa Kdei),0.768,0.851,0.0,-4.947,0.0,0.144,0.311,0.0,0.386,0.701,107.981,audio_features,4Ql8dfmVkKEVz0ZMnvw8xi,spotify:track:4Ql8dfmVkKEVz0ZMnvw8xi,https://api.spotify.com/v1/tracks/4Ql8dfmVkKEVz0ZMnvw8xi,https://api.spotify.com/v1/audio-analysis/4Ql8dfmVkKEVz0ZMnvw8xi,214014.0,4.0,afrobeats
7AJcPmSg6OhbdTkOSXQ8YO,Hol' it,0.712,0.446,2.0,-8.349,0.0,0.34,0.0533,0.0,0.254,0.641,111.323,audio_features,7AJcPmSg6OhbdTkOSXQ8YO,spotify:track:7AJcPmSg6OhbdTkOSXQ8YO,https://api.spotify.com/v1/tracks/7AJcPmSg6OhbdTkOSXQ8YO,https://api.spotify.com/v1/audio-analysis/7AJcPmSg6OhbdTkOSXQ8YO,229093.0,4.0,afrobeats
7ceisg9MpCeJoLaoPfyu0V,Tonga,0.901,0.645,1.0,-4.987,1.0,0.0589,0.13,7.64e-06,0.0969,0.538,108.04,audio_features,7ceisg9MpCeJoLaoPfyu0V,spotify:track:7ceisg9MpCeJoLaoPfyu0V,https://api.spotify.com/v1/tracks/7ceisg9MpCeJoLaoPfyu0V,https://api.spotify.com/v1/audio-analysis/7ceisg9MpCeJoLaoPfyu0V,202346.0,4.0,afrobeats
3dx6COHzPCAB1JFFMj58gW,Ajeei (feat. Nana Boroo & Sarkodie),0.775,0.852,2.0,-3.414,0.0,0.0432,0.389,0.0,0.34,0.475,111.845,audio_features,3dx6COHzPCAB1JFFMj58gW,spotify:track:3dx6COHzPCAB1JFFMj58gW,https://api.spotify.com/v1/tracks/3dx6COHzPCAB1JFFMj58gW,https://api.spotify.com/v1/audio-analysis/3dx6COHzPCAB1JFFMj58gW,220960.0,4.0,afrobeats
0hjNPLAN4ZRG57yqOvCL02,You Bad,0.744,0.747,1.0,-6.24,1.0,0.0549,0.405,0.0,0.0867,0.774,120.044,audio_features,0hjNPLAN4ZRG57yqOvCL02,spotify:track:0hjNPLAN4ZRG57yqOvCL02,https://api.spotify.com/v1/tracks/0hjNPLAN4ZRG57yqOvCL02,https://api.spotify.com/v1/audio-analysis/0hjNPLAN4ZRG57yqOvCL02,248000.0,4.0,afrobeats
75u7OvDfLHg0574MoNQhyd,Caro (feat. Lax),0.698,0.944,9.0,-2.48,0.0,0.0628,0.0214,4.68e-05,0.485,0.915,122.183,audio_features,75u7OvDfLHg0574MoNQhyd,spotify:track:75u7OvDfLHg0574MoNQhyd,https://api.spotify.com/v1/tracks/75u7OvDfLHg0574MoNQhyd,https://api.spotify.com/v1/audio-analysis/75u7OvDfLHg0574MoNQhyd,246832.0,4.0,afrobeats
